name,slug,type,state,city,seats,annual_fees,closing_rank_open,nirf_rank,asmi_recommended,course,established_year,hospital_beds,photo,photo_placeholder_color,contact_phone,contact_email,website,address,affiliated_university,opd_daily,bond_years,bond_penalty,hostel_available,asmi_pulse_score,asmi_verdict,description,attached_hospital,nearby_airport,nearby_railway_station,google_location,pg_courses_availability
"Jawaharlal Institute of Postgraduate Medical Education & Research, Karaikal",jawaharlal-institute-of-postgraduate-medical-education-research-karaikal,JIPMER,Pondicherry,Karaikal,61,,,,True,MBBS,,,,#0e7490,,,,,,,,,,,,,,,,,
"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry",jawaharlal-institute-of-postgraduate-medical-education-research-puducherry,JIPMER,Pondicherry,Puducherry,182,,,,True,MBBS,,,,#0e7490,,,,,,,,,,,,,,,,,
"Grant Medical College, Mumbai",grant-medical-college-mumbai,Government,Maharashtra,Mumbai,250,,,,True,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Maulana Azad Medical College, New Delhi",maulana-azad-medical-college-new-delhi,Government,Delhi,New Delhi,250,,,,True,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Seth GS Medical College and KEM Hospital, Mumbai",seth-gs-medical-college-and-kem-hospital-mumbai,Government,Maharashtra,Mumbai,250,,,,True,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Kasturba Medical College, Manipal",kasturba-medical-college-manipal,Deemed,Karnataka,Manipal,250,,,,True,MBBS,,,,#c2410c,,,,,,,,,,,,,,,,,
"Manipal Tata Medical College,Baridih Jameshedpur",manipal-tata-medical-college-baridih-jameshedpur,Deemed,Jharkhand,Baridih Jameshedpur,200,,,,True,MBBS,,,,#c2410c,,,,,,,,,,,,,,,,,
M S RAMAIAH MEDICAL COLLEGE,m-s-ramaiah-medical-college,Private,Karnataka,,150,,,,True,MBBS,,,,#6a0dad,,,,,,,,,,,,,,,,,
"Sikkim Manipal Institute of Medical Sciences, Gangtok",sikkim-manipal-institute-of-medical-sciences-gangtok,Private,Sikkim,Gangtok,150,,,,True,MBBS,,,,#6a0dad,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bhatinda",all-india-institute-of-medical-sciences-bhatinda,AIIMS,Punjab,Bhatinda,100,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bhopal",all-india-institute-of-medical-sciences-bhopal,AIIMS,Madhya Pradesh,Bhopal,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bhubaneswar",all-india-institute-of-medical-sciences-bhubaneswar,AIIMS,Odisha,Bhubaneswar,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bibinagar",all-india-institute-of-medical-sciences-bibinagar,AIIMS,Telangana,Bibinagar,100,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Bilaspur",all-india-institute-of-medical-sciences-bilaspur,AIIMS,Himachal Pradesh,Bilaspur,100,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Deoghar",all-india-institute-of-medical-sciences-deoghar,AIIMS,Jharkhand,Deoghar,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Gorakhpur",all-india-institute-of-medical-sciences-gorakhpur,AIIMS,Uttar Pradesh,Gorakhpur,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Guwahati",all-india-institute-of-medical-sciences-guwahati,AIIMS,Assam,Guwahati,100,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Jodhpur",all-india-institute-of-medical-sciences-jodhpur,AIIMS,Rajasthan,Jodhpur,150,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Kalyani, Nadia",all-india-institute-of-medical-sciences-kalyani-nadia,AIIMS,West Bengal,Nadia,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Madurai",all-india-institute-of-medical-sciences-madurai,AIIMS,Tamil Nadu,Madurai,50,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Mangalagiri, Vijayawada",all-india-institute-of-medical-sciences-mangalagiri-vijayawada,AIIMS,Andhra Pradesh,Vijayawada,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Nagpur",all-india-institute-of-medical-sciences-nagpur,AIIMS,Maharashtra,Nagpur,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, New Delhi",all-india-institute-of-medical-sciences-new-delhi,AIIMS,Delhi,New Delhi,132,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Patna",all-india-institute-of-medical-sciences-patna,AIIMS,Bihar,Patna,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Rae Bareli",all-india-institute-of-medical-sciences-rae-bareli,AIIMS,Uttar Pradesh,Rae Bareli,100,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Raipur",all-india-institute-of-medical-sciences-raipur,AIIMS,Chattisgarh,Raipur,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Rajkot",all-india-institute-of-medical-sciences-rajkot,AIIMS,Gujarat,Rajkot,75,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Rishikesh",all-india-institute-of-medical-sciences-rishikesh,AIIMS,Uttarakhand,Rishikesh,125,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"All India Institute of Medical Sciences, Vijaypur",all-india-institute-of-medical-sciences-vijaypur,AIIMS,Jammu & Kashmir,Vijaypur,100,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
"Institute of Medical Sciences, BHU, Varansi",institute-of-medical-sciences-bhu-varansi,Central,Uttar Pradesh,Varansi,100,,,,False,MBBS,,,,#0369a1,,,,,,,,,,,,,,,,,
"Jawaharlal Nehru Medical College, Aligarh",jawaharlal-nehru-medical-college-aligarh,Central,Uttar Pradesh,Aligarh,150,,,,False,MBBS,,,,#0369a1,,,,,,,,,,,,,,,,,
"Armed Forces Medical College, Pune",armed-forces-medical-college-pune,AFMC,Maharashtra,Pune,150,,,,False,MBBS,,,,#1a0040,,,,,,,,,,,,,,,,,
ACSR Govt Medical COllege Nellore,acsr-govt-medical-college-nellore,Government,Andhra Pradesh,,175,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
ASMC Sonebhadra,asmc-sonebhadra,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
ASSAM MEDICAL COLLEGE,assam-medical-college,Government,Assam,,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
AUTONOMOUS STATE MEDICAL COLLEGE AURAIYA,autonomous-state-medical-college-auraiya,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
AUTONOMOUS STATE MEDICAL COLLEGE Amethi,autonomous-state-medical-college-amethi,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
AUTONOMOUS STATE MEDICAL COLLEGE KUSHINAGAR UTTAR PRADESH,autonomous-state-medical-college-kushinagar-uttar-pradesh,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"AUTONOMOUS STATE MEDICAL COLLEGE, KANPUR DEHAT",autonomous-state-medical-college-kanpur-dehat,Government,Uttar Pradesh,KANPUR DEHAT,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Agartala Government Medical College & GBP Hospital,agartala-government-medical-college-gbp-hospital,Government,Tripura,,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",andaman-nicobar-islands-institute-of-medical-sciences-port-blair,Government,Andaman & Nicobar,Port Blair,114,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Andhra Medical College, Visakhapatnam",andhra-medical-college-visakhapatnam,Government,Andhra Pradesh,Visakhapatnam,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Anugrah Narayan Magadh Medical College, Gaya",anugrah-narayan-magadh-medical-college-gaya,Government,Bihar,Gaya,120,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar Lohia Hospi,atal-bihari-vajpayee-institute-of-medical-sciences-dr-ram-manohar-lohia-hospi,Government,Delhi,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Medical College Pratapgarh,autonomous-state-medical-college-pratapgarh,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Medical College Society Ghazipur,autonomous-state-medical-college-society-ghazipur,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College Society, Etah, Uttar Pradesh",autonomous-state-medical-college-society-etah-uttar-pradesh,Government,Uttar Pradesh,Uttar Pradesh,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
